ID,latitude,longitude,location
376,49.03624083,2.449671473,74683
377,40.78138633,-73.97390842,46
378,41.960549,-87.655204,2501
379,40.51974489,-74.08554849,861
380,40.8694341,-73.87283722,46
381,-23.56060412,-46.71747208,209
382,40.65219155,-73.65547363,11543
383,41.939483,-87.716358,2501
384,33.47431898,-112.0648813,843
385,45.60171206,9.338656401,93036
386,40.75636,-73.987641,46
387,48.74116338,2.472269067,74683
388,45.47781,9.190862,93036
389,33.558566,-112.1169449,843
390,45.64663738,9.012156896,93036
391,40.47589576,-73.85502976,861
392,33.96248867,-118.501651,2333
393,40.61594647,-74.07176104,861
394,34.20466116,-118.4621952,2333
395,40.83905431,-73.92398844,11543
396,48.881855,2.2859131,74683
397,41.871777,12.533417,2226
398,40.54322638,-74.09305911,861
399,40.678731,-73.968132,861
400,40.82598809,-73.86009693,861
401,48.8651034,2.3777013,74683
402,40.69127875,-73.81141582,861
403,40.0162175,-75.2044471,13556
404,45.44944,9.1619,93036
405,40.589317,-73.973118,861
406,34.075276,-118.378162,2333
407,33.626696,-111.996552,843
408,40.08517532,-75.27391096,13556
409,40.86124753,-73.84863963,46
410,34.03299447,-118.2690668,2333
411,34.16726894,-118.3586318,2333
